Time,Wavelength,Power
2024-06-19T13:52:31.831,1528.38294,-30.2,1528.38393
2024-06-19T13:52:32.062,1528.38275,-30.1,1528.38295
2024-06-19T13:52:32.322,1528.38246,-30.1,1528.38276
2024-06-19T13:52:32.550,1528.38213,-30.1,1528.38247
2024-06-19T13:52:32.804,1528.38206,-30.2,1528.38215
2024-06-19T13:52:33.039,1528.38248,-30.2,1528.38208
2024-06-19T13:52:33.284,1528.38249,-30.1,1528.38249
2024-06-19T13:52:33.510,1528.38230,-30.2,1528.38250
2024-06-19T13:52:33.753,1528.38262,-30.3,1528.38232
2024-06-19T13:52:34.000,1528.38299,-30.4,1528.38264
2024-06-19T13:52:34.233,1528.38284,-30.6,1528.38299
2024-06-19T13:52:34.481,1528.38315,-30.4,1528.38286
2024-06-19T13:52:34.711,1528.38372,-30.5,1528.38316
2024-06-19T13:52:34.975,1528.38365,-30.4,1528.38372
2024-06-19T13:52:35.195,1528.38382,-30.6,1528.38366
2024-06-19T13:52:35.442,1528.38291,-30.4,1528.38383
2024-06-19T13:52:35.681,1528.38339,-30.5,1528.38292
2024-06-19T13:52:35.939,1528.38371,-30.6,1528.38340
2024-06-19T13:52:36.168,1528.38391,-30.6,1528.38372
2024-06-19T13:52:36.408,1528.38382,-30.5,1528.38392
2024-06-19T13:52:36.657,1528.38395,-30.6,1528.38383
2024-06-19T13:52:36.887,1528.38386,-30.6,1528.38395
2024-06-19T13:52:37.133,1528.38350,-30.7,1528.38387
2024-06-19T13:52:37.372,1528.38410,-30.7,1528.38351
2024-06-19T13:52:37.632,1528.38472,-30.6,1528.38411
2024-06-19T13:52:37.880,1528.38374,-30.9,1528.38472
2024-06-19T13:52:40.779,1528.75737,-30.0,0
2024-06-19T13:52:41.009,1528.75915,-30.0,1528.75738
2024-06-19T13:52:41.271,1528.76509,-30.0,1528.75915
2024-06-19T13:52:41.498,1528.76861,-30.1,1528.76509
2024-06-19T13:52:41.749,1528.77630,-30.2,1528.76860
2024-06-19T13:52:41.980,1528.77690,-30.1,1528.77632
2024-06-19T13:52:42.243,1528.77673,-30.2,1528.77691
2024-06-19T13:52:42.467,1528.77681,-30.3,1528.77673
2024-06-19T13:52:42.712,1528.77647,-30.2,1528.77682
2024-06-19T13:52:42.957,1528.77601,-30.2,1528.77646
2024-06-19T13:52:43.215,1528.77589,-30.2,1528.77601
2024-06-19T13:52:43.442,1528.77583,-30.2,1528.77590
2024-06-19T13:52:43.683,1528.77611,-30.3,1528.77582
2024-06-19T13:52:43.930,1528.77562,-30.3,1528.77612
2024-06-19T13:52:44.161,1528.77475,-30.2,1528.77561
2024-06-19T13:52:44.409,1528.77407,-30.4,1528.77474
2024-06-19T13:52:44.642,1528.77433,-30.3,1528.77407
2024-06-19T13:52:44.902,1528.77400,-30.3,1528.77433
2024-06-19T13:52:45.132,1528.77383,-30.5,1528.77400
2024-06-19T13:52:45.381,1528.77375,-30.4,1528.77381
2024-06-19T13:52:45.610,1528.77397,-30.5,1528.77374
2024-06-19T13:52:45.871,1528.77372,-30.5,1528.77398
2024-06-19T13:52:46.097,1528.77353,-30.5,1528.77373
2024-06-19T13:52:46.345,1528.77384,-30.6,1528.77351
2024-06-19T13:52:46.589,1528.77407,-30.7,1528.77383
2024-06-19T13:52:46.847,1528.77388,-30.7,1528.77407
2024-06-19T13:52:47.075,1528.77384,-30.7,1528.77389
2024-06-19T13:52:47.316,1528.77425,-30.7,1528.77382
2024-06-19T13:52:47.564,1528.77436,-30.7,1528.77425
2024-06-19T13:52:47.795,1528.77398,-30.7,1528.77437
2024-06-19T13:52:49.621,1529.16507,-32.0,0
2024-06-19T13:52:49.878,1529.16411,-29.9,1529.16501
2024-06-19T13:52:50.107,1529.16364,-30.1,1529.16411
2024-06-19T13:52:50.358,1529.16291,-30.0,1529.16363
2024-06-19T13:52:50.588,1529.16313,-30.0,1529.16291
2024-06-19T13:52:50.850,1529.16283,-30.1,1529.16313
2024-06-19T13:52:51.076,1529.16283,-30.1,1529.16283
2024-06-19T13:52:51.316,1529.16259,-30.0,1527.02091
2024-06-19T13:52:51.555,1529.16262,-30.1,1529.16259
2024-06-19T13:52:51.807,1529.16276,-30.1,1529.16262
2024-06-19T13:52:52.036,1529.16309,-30.1,1529.16276
2024-06-19T13:52:52.274,1529.16203,-30.2,1529.16308
2024-06-19T13:52:52.520,1529.16238,-30.2,1529.16203
2024-06-19T13:52:52.751,1529.16290,-30.3,1529.16238
2024-06-19T13:52:53.000,1529.16269,-30.2,1529.16289
2024-06-19T13:52:53.234,1529.16310,-30.3,1529.16268
2024-06-19T13:52:53.496,1529.16363,-30.3,1529.16309
2024-06-19T13:52:53.722,1529.16312,-30.3,1529.16363
2024-06-19T13:52:53.972,1529.16316,-30.4,1529.16311
2024-06-19T13:52:54.217,1529.16374,-30.4,1529.16316
2024-06-19T13:52:54.489,1529.16368,-30.5,1529.16374
2024-06-19T13:52:54.710,1529.16339,-30.5,1529.16368
2024-06-19T13:52:54.964,1529.16329,-30.5,1529.16339
2024-06-19T13:52:55.199,1529.16371,-30.6,1529.16329
2024-06-19T13:52:55.461,1529.16368,-30.6,1529.16371
2024-06-19T13:52:55.682,1529.16331,-30.6,1529.16368
2024-06-19T13:52:55.925,1529.16331,-30.7,1529.16331
2024-06-19T13:52:56.167,1529.16345,-30.7,1529.16331
