Time,Wavelength,Power
2024-06-19T13:23:02.519,1527.99397,-31.7,1527.99348
2024-06-19T13:23:02.746,1527.99360,-31.7,1527.99397
2024-06-19T13:23:02.988,1527.99326,-31.8,1527.99360
2024-06-19T13:23:03.233,1527.99391,-31.8,1527.99326
2024-06-19T13:23:03.482,1527.99371,-31.8,1527.99391
2024-06-19T13:23:03.715,1527.99351,-31.8,1527.99371
2024-06-19T13:23:03.956,1527.99352,-31.9,1527.99351
2024-06-19T13:23:04.201,1527.99352,-32.0,1527.99352
2024-06-19T13:23:04.423,1527.99343,-32.0,1527.99352
2024-06-19T13:23:04.671,1527.99362,-32.0,1527.99344
2024-06-19T13:23:04.904,1527.99418,-32.0,1527.99362
2024-06-19T13:23:05.161,1527.99395,-31.9,1527.99418
2024-06-19T13:23:05.387,1527.99332,-32.0,1527.99395
2024-06-19T13:23:05.627,1527.99345,-32.0,1527.99332
2024-06-19T13:23:05.875,1527.99347,-32.0,1527.99345
2024-06-19T13:23:09.114,1528.38616,-31.4,1528.39846
2024-06-19T13:23:09.368,1528.38466,-31.4,1528.38615
2024-06-19T13:23:09.601,1528.38410,-31.4,1528.38467
2024-06-19T13:23:09.857,1528.38343,-31.4,1528.38411
2024-06-19T13:23:10.135,1528.38332,-31.4,1528.38344
2024-06-19T13:23:10.358,1528.38266,-31.4,1528.38332
2024-06-19T13:23:10.604,1528.38215,-31.5,1528.38267
2024-06-19T13:23:10.845,1528.38251,-31.5,1528.38216
2024-06-19T13:23:11.101,1528.38320,-31.5,1528.38252
2024-06-19T13:23:11.328,1528.38260,-31.5,1528.38321
2024-06-19T13:23:11.571,1528.38222,-31.6,1528.38262
2024-06-19T13:23:11.818,1528.38266,-31.7,1528.38223
2024-06-19T13:23:12.047,1528.38259,-31.6,1528.38266
2024-06-19T13:23:12.295,1528.38352,-31.7,1528.38260
2024-06-19T13:23:12.525,1528.38374,-31.8,1528.38353
2024-06-19T13:23:12.789,1528.38407,-31.7,1528.38375
2024-06-19T13:23:13.013,1528.38368,-31.7,1528.38408
2024-06-19T13:23:13.257,1528.38383,-31.8,1528.38369
2024-06-19T13:23:13.497,1528.38416,-31.9,1528.38384
2024-06-19T13:23:13.753,1528.38361,-31.8,1528.38417
2024-06-19T13:23:13.981,1528.38333,-32.0,1528.38361
2024-06-19T13:23:14.221,1528.38353,-31.9,1528.38333
2024-06-19T13:23:14.470,1528.38384,-32.0,1528.38354
2024-06-19T13:23:14.702,1528.38392,-31.9,1528.38385
2024-06-19T13:23:14.948,1528.38382,-32.0,1528.38393
2024-06-19T13:23:15.176,1528.38384,-32.1,1528.38383
2024-06-19T13:23:15.436,1528.38388,-32.0,1528.38384
2024-06-19T13:23:15.662,1528.38356,-32.1,1528.38388
2024-06-19T13:23:15.912,1528.38381,-32.2,1528.38357
2024-06-19T13:23:18.941,1528.75848,-31.6,0
2024-06-19T13:23:19.176,1528.76086,-31.8,1528.75849
2024-06-19T13:23:19.430,1528.76680,-31.6,1528.76086
2024-06-19T13:23:19.663,1528.77050,-31.5,1528.76680
2024-06-19T13:23:19.911,1528.77653,-31.5,1528.77050
2024-06-19T13:23:20.140,1528.77650,-31.7,1528.77654
2024-06-19T13:23:20.418,1528.77681,-31.6,1528.77649
2024-06-19T13:23:20.648,1528.77612,-31.7,1528.77682
2024-06-19T13:23:20.897,1528.77613,-31.8,1528.77614
2024-06-19T13:23:21.121,1528.77594,-31.8,1528.77614
2024-06-19T13:23:21.387,1528.77554,-31.7,1528.77595
2024-06-19T13:23:21.611,1528.77581,-31.8,1528.77553
2024-06-19T13:23:21.857,1528.77552,-31.8,1528.77580
2024-06-19T13:23:22.096,1528.77528,-31.7,1528.77552
2024-06-19T13:23:22.346,1528.77487,-32.0,1528.77527
2024-06-19T13:23:22.575,1528.77429,-31.8,1528.77487
2024-06-19T13:23:22.816,1528.77391,-31.8,1528.77428
2024-06-19T13:23:23.060,1528.77390,-31.8,1528.77391
2024-06-19T13:23:23.282,1528.77377,-31.9,1528.77391
2024-06-19T13:23:23.530,1528.77325,-32.0,1528.77376
2024-06-19T13:23:23.763,1528.77374,-32.1,1528.77324
2024-06-19T13:23:24.022,1528.77421,-32.0,1528.77375
2024-06-19T13:23:24.264,1528.77403,-32.0,1528.77421
2024-06-19T13:23:24.514,1528.77395,-32.1,1528.77401
2024-06-19T13:23:24.745,1528.77425,-32.2,1528.77394
2024-06-19T13:23:25.003,1528.77450,-32.1,1528.77426
2024-06-19T13:23:25.230,1528.77444,-32.2,1528.77451
2024-06-19T13:23:25.473,1528.77433,-32.2,1528.77442
2024-06-19T13:23:25.718,1528.77464,-32.3,1528.77431
2024-06-19T13:23:27.770,1529.16372,-31.9,0
