Time,Wavelength,Power
2024-06-13T15:35:14.476,1527.60432,-35.8
2024-06-13T15:35:14.675,1527.60458,-36.1
2024-06-13T15:35:14.902,1527.60447,-36.0
2024-06-13T15:35:15.146,1527.60440,-35.8
2024-06-13T15:35:15.390,1527.60451,-36.0
2024-06-13T15:35:15.656,1527.60467,-36.1
2024-06-13T15:35:15.880,1527.60487,-35.9
2024-06-13T15:35:16.117,1527.60452,-35.8
2024-06-13T15:35:16.365,1527.60484,-36.2
2024-06-13T15:35:16.595,1527.60454,-35.7
2024-06-13T15:35:16.855,1527.60453,-36.3
2024-06-13T15:35:17.082,1527.60475,-36.5
2024-06-13T15:35:17.338,1527.60501,-35.5
2024-06-13T15:35:17.574,1527.60463,-35.6
2024-06-13T15:35:17.848,1527.60448,-35.5
2024-06-13T15:35:18.076,1527.60442,-35.8
2024-06-13T15:35:18.336,1527.60449,-35.8
2024-06-13T15:35:18.562,1527.60466,-35.7
2024-06-13T15:35:18.812,1527.60505,-35.5
2024-06-13T15:35:19.055,1527.60450,-35.7
2024-06-13T15:35:19.305,1527.60465,-35.9
2024-06-13T15:35:19.533,1527.60457,-35.7
2024-06-13T15:35:19.786,1527.60455,-36.0
2024-06-13T15:35:20.036,1527.60441,-35.8
2024-06-13T15:35:20.265,1527.60477,-35.8
2024-06-13T15:35:20.511,1527.60476,-35.8
2024-06-13T15:35:20.740,1527.60471,-35.6
2024-06-13T15:35:21.010,1527.60459,-35.8
2024-06-13T15:35:21.235,1527.60468,-36.0
2024-06-13T15:35:21.474,1527.60454,-35.6
2024-06-13T15:35:21.719,1527.60460,-35.9
2024-06-13T15:35:21.985,1527.60435,-35.7
2024-06-13T15:35:22.214,1527.60480,-35.8
2024-06-13T15:35:22.449,1527.60453,-35.9
2024-06-13T15:35:22.697,1527.60494,-35.7
2024-06-13T15:35:22.929,1527.60495,-35.7
2024-06-13T15:35:23.184,1527.60456,-35.5
2024-06-13T15:35:23.416,1527.60491,-35.9
2024-06-13T15:35:25.457,1527.99309,-35.7
2024-06-13T15:35:25.726,1527.99337,-36.1
2024-06-13T15:35:25.998,1527.99216,-35.8
2024-06-13T15:35:26.221,1527.99271,-36.0
2024-06-13T15:35:26.457,1527.99232,-35.8
2024-06-13T15:35:26.708,1527.99230,-35.5
2024-06-13T15:35:26.967,1527.99234,-36.3
2024-06-13T15:35:27.197,1527.99242,-36.2
2024-06-13T15:35:27.429,1527.99249,-36.1
2024-06-13T15:35:27.679,1527.99260,-35.7
2024-06-13T15:35:27.928,1527.99191,-35.8
2024-06-13T15:35:28.186,1527.99261,-35.9
2024-06-13T15:35:31.600,1528.38367,-37.1
2024-06-13T15:35:31.843,1528.38466,-37.7
2024-06-13T15:35:32.074,1528.38410,-37.7
2024-06-13T15:35:32.347,1528.38259,-37.7
2024-06-13T15:35:32.575,1528.38290,-37.5
2024-06-13T15:35:32.817,1528.38265,-37.4
2024-06-13T15:35:33.055,1528.38278,-37.3
2024-06-13T15:35:33.323,1528.38233,-37.5
2024-06-13T15:35:36.412,1528.75971,-36.6
2024-06-13T15:35:36.671,1528.76236,-36.6
2024-06-13T15:35:36.896,1528.76559,-36.4
2024-06-13T15:35:37.156,1528.77643,-36.7
2024-06-13T15:35:37.394,1528.77642,-37.1
2024-06-13T15:35:37.642,1528.77633,-36.9
2024-06-13T15:35:37.871,1528.77657,-36.3
2024-06-13T15:35:38.126,1528.77591,-36.8
2024-06-13T15:35:38.389,1528.77569,-36.6
2024-06-13T15:35:40.380,1529.16345,-35.0
2024-06-13T15:35:40.642,1529.16307,-35.1
2024-06-13T15:35:40.882,1529.16246,-34.8
2024-06-13T15:35:41.133,1529.16267,-35.2
2024-06-13T15:35:41.375,1529.16230,-35.2
2024-06-13T15:35:41.620,1529.16235,-35.2
2024-06-13T15:35:41.851,1529.16187,-35.3
2024-06-13T15:35:42.104,1529.16253,-35.0
2024-06-13T15:35:42.354,1529.16290,-35.4
2024-06-13T15:35:42.582,1529.16303,-35.3
2024-06-13T15:35:42.824,1529.16256,-35.4
2024-06-13T15:35:43.060,1529.16275,-35.2
2024-06-13T15:35:43.327,1529.16356,-35.4
2024-06-13T15:35:45.614,1529.55362,-34.9
2024-06-13T15:35:45.849,1529.55487,-35.3
2024-06-13T15:35:46.081,1529.55419,-35.3
2024-06-13T15:35:46.351,1529.55266,-35.2
2024-06-13T15:35:46.579,1529.55278,-35.4
2024-06-13T15:35:46.823,1529.55257,-34.9
2024-06-13T15:35:47.056,1529.55223,-35.1
2024-06-13T15:35:47.323,1529.55170,-35.1
2024-06-13T15:35:47.545,1529.55168,-35.3
2024-06-13T15:35:47.772,1529.55184,-35.3
2024-06-13T15:35:48.022,1529.55202,-35.3
2024-06-13T15:35:48.271,1529.55179,-35.5
2024-06-13T15:35:50.596,1529.92784,-35.2
2024-06-13T15:35:50.840,1529.93061,-35.5
2024-06-13T15:35:51.077,1529.93688,-35.5
2024-06-13T15:35:51.334,1529.93904,-35.8
2024-06-13T15:35:51.561,1529.94509,-35.2
2024-06-13T15:35:51.810,1529.94550,-35.6
2024-06-13T15:35:52.050,1529.94533,-35.5
2024-06-13T15:35:52.320,1529.94536,-35.7
2024-06-13T15:35:52.545,1529.94504,-35.9
2024-06-13T15:35:52.781,1529.94458,-36.0
2024-06-13T15:35:53.029,1529.94466,-35.6
2024-06-13T15:35:53.285,1529.94404,-36.2
2024-06-13T15:35:55.351,1530.33359,-34.9
2024-06-13T15:35:55.591,1530.33278,-34.9
2024-06-13T15:35:55.864,1530.33256,-34.5
2024-06-13T15:35:56.104,1530.33177,-34.9
2024-06-13T15:35:56.350,1530.33222,-34.8
2024-06-13T15:35:56.581,1530.33176,-35.0
2024-06-13T15:35:56.843,1530.33236,-35.1
2024-06-13T15:35:57.072,1530.33228,-34.8
2024-06-13T15:35:57.332,1530.33240,-35.1
2024-06-13T15:35:57.557,1530.33211,-35.1
2024-06-13T15:35:57.818,1530.33277,-34.8
2024-06-13T15:35:58.056,1530.33236,-35.2
2024-06-13T15:35:58.311,1530.33270,-35.2
2024-06-13T15:36:01.398,1530.73379,-35.4
2024-06-13T15:36:01.655,1530.72449,-35.1
2024-06-13T15:36:01.891,1530.72480,-35.5
2024-06-13T15:36:02.154,1530.72409,-34.8
2024-06-13T15:36:02.386,1530.72355,-35.1
2024-06-13T15:36:02.642,1530.72362,-35.3
2024-06-13T15:36:02.866,1530.72351,-35.6
2024-06-13T15:36:03.116,1530.72378,-35.5
2024-06-13T15:36:03.364,1530.72397,-35.5
2024-06-13T15:36:07.412,1531.09842,-35.3
2024-06-13T15:36:07.698,1531.10520,-36.0
2024-06-13T15:36:07.940,1531.10818,-36.0
2024-06-13T15:36:08.180,1531.11206,-35.8
2024-06-13T15:36:08.428,1531.11822,-36.0
2024-06-13T15:36:10.213,1531.50794,-34.8
2024-06-13T15:36:10.493,1531.50696,-35.1
2024-06-13T15:36:10.744,1531.50679,-35.1
2024-06-13T15:36:11.014,1531.50583,-34.6
2024-06-13T15:36:11.248,1531.50559,-35.3
2024-06-13T15:36:11.491,1531.50510,-35.0
2024-06-13T15:36:11.726,1531.50536,-35.1
2024-06-13T15:36:12.000,1531.50578,-35.0
2024-06-13T15:36:12.224,1531.50593,-35.1
2024-06-13T15:36:12.465,1531.50539,-35.4
2024-06-13T15:36:12.709,1531.50549,-35.1
2024-06-13T15:36:12.974,1531.50562,-35.1
2024-06-13T15:36:13.203,1531.50618,-35.3
2024-06-13T15:36:13.439,1531.50617,-35.5
2024-06-13T15:36:15.489,1531.90484,-35.0
2024-06-13T15:36:15.720,1531.89887,-34.7
2024-06-13T15:36:15.989,1531.89821,-34.6
2024-06-13T15:36:16.218,1531.89738,-34.7
2024-06-13T15:36:16.457,1531.89726,-34.1
2024-06-13T15:36:16.700,1531.89746,-34.7
2024-06-13T15:36:16.967,1531.89670,-35.0
2024-06-13T15:36:17.193,1531.89662,-34.6
2024-06-13T15:36:17.425,1531.89679,-34.5
2024-06-13T15:36:17.675,1531.89667,-34.4
2024-06-13T15:36:17.906,1531.89656,-35.1
2024-06-13T15:36:18.162,1531.89686,-34.9
2024-06-13T15:36:18.397,1531.89663,-35.0
2024-06-13T15:36:20.432,1532.27229,-35.3
2024-06-13T15:36:20.700,1532.27345,-35.7
2024-06-13T15:36:20.951,1532.27531,-35.7
2024-06-13T15:36:21.185,1532.28099,-36.2
2024-06-13T15:36:21.440,1532.29175,-35.7
2024-06-13T15:36:21.691,1532.29166,-35.8
2024-06-13T15:36:21.918,1532.29147,-35.2
2024-06-13T15:36:22.165,1532.29157,-36.0
2024-06-13T15:36:22.407,1532.29143,-36.4
2024-06-13T15:36:22.661,1532.29132,-36.3
2024-06-13T15:36:22.890,1532.29073,-36.2
2024-06-13T15:36:23.143,1532.29030,-35.9
2024-06-13T15:36:26.677,1532.68090,-35.2
2024-06-13T15:36:26.912,1532.68207,-35.2
2024-06-13T15:36:27.167,1532.68149,-35.9
2024-06-13T15:36:27.400,1532.68090,-35.6
2024-06-13T15:36:27.657,1532.68083,-34.9
2024-06-13T15:36:27.878,1532.68054,-35.3
2024-06-13T15:36:28.141,1532.68057,-35.8
2024-06-13T15:36:28.377,1532.68024,-35.1
2024-06-13T15:36:31.398,1533.09005,-34.3
2024-06-13T15:36:31.667,1533.07459,-34.5
2024-06-13T15:36:31.899,1533.07449,-34.8
2024-06-13T15:36:32.142,1533.07326,-35.1
2024-06-13T15:36:32.374,1533.07329,-35.4
2024-06-13T15:36:32.643,1533.07238,-35.1
2024-06-13T15:36:32.869,1533.07208,-35.0
2024-06-13T15:36:33.104,1533.07197,-35.3
2024-06-13T15:36:35.677,1533.45364,-34.7
2024-06-13T15:36:35.910,1533.45593,-34.6
2024-06-13T15:36:36.152,1533.45859,-34.8
2024-06-13T15:36:36.392,1533.46698,-34.6
2024-06-13T15:36:36.651,1533.46797,-34.6
2024-06-13T15:36:36.874,1533.46752,-34.2
2024-06-13T15:36:37.127,1533.46715,-34.8
2024-06-13T15:36:37.366,1533.46745,-34.7
2024-06-13T15:36:37.630,1533.46691,-35.0
2024-06-13T15:36:37.857,1533.46687,-34.9
2024-06-13T15:36:38.089,1533.46636,-34.9
2024-06-13T15:36:38.336,1533.46652,-35.2
2024-06-13T15:36:40.147,1533.85895,-34.1
2024-06-13T15:36:40.417,1533.85782,-33.5
2024-06-13T15:36:40.697,1533.85715,-34.0
2024-06-13T15:36:40.952,1533.85706,-33.7
2024-06-13T15:36:41.175,1533.85704,-34.0
2024-06-13T15:36:41.425,1533.85655,-34.1
2024-06-13T15:36:41.673,1533.85632,-34.2
2024-06-13T15:36:41.906,1533.85597,-34.2
2024-06-13T15:36:42.149,1533.85625,-33.9
2024-06-13T15:36:42.393,1533.85624,-34.2
2024-06-13T15:36:42.649,1533.85657,-33.8
2024-06-13T15:36:42.874,1533.85637,-33.8
2024-06-13T15:36:43.125,1533.85710,-34.0
2024-06-13T15:36:45.387,1534.26670,-33.1
2024-06-13T15:36:45.677,1534.25095,-33.4
2024-06-13T15:36:45.910,1534.25095,-32.9
2024-06-13T15:36:46.152,1534.24945,-33.5
2024-06-13T15:36:46.393,1534.24918,-33.4
2024-06-13T15:36:46.647,1534.24939,-33.4
2024-06-13T15:36:46.872,1534.24909,-33.4
2024-06-13T15:36:47.124,1534.24853,-33.6
2024-06-13T15:36:47.360,1534.24850,-33.9
2024-06-13T15:36:47.625,1534.24801,-33.4
2024-06-13T15:36:47.852,1534.24844,-33.6
2024-06-13T15:36:48.084,1534.24846,-33.4
2024-06-13T15:36:48.335,1534.24883,-33.7
2024-06-13T15:36:51.476,1534.63166,-34.4
2024-06-13T15:36:51.733,1534.63508,-34.4
2024-06-13T15:36:51.979,1534.63786,-34.4
2024-06-13T15:36:52.209,1534.64207,-33.9
2024-06-13T15:36:52.467,1534.64497,-34.5
2024-06-13T15:36:52.702,1534.64520,-34.3
2024-06-13T15:36:52.960,1534.64495,-34.6
2024-06-13T15:36:53.186,1534.64499,-35.0
2024-06-13T15:36:55.458,1535.03526,-35.1
2024-06-13T15:36:55.712,1535.03501,-34.9
2024-06-13T15:36:55.974,1535.03502,-35.1
2024-06-13T15:36:56.197,1535.03462,-35.0
2024-06-13T15:36:56.443,1535.03381,-34.9
2024-06-13T15:36:56.686,1535.03428,-34.9
2024-06-13T15:36:56.955,1535.03409,-34.8
2024-06-13T15:36:57.178,1535.03413,-35.1
2024-06-13T15:36:57.412,1535.03408,-35.3
2024-06-13T15:36:57.658,1535.03409,-34.9
2024-06-13T15:36:57.879,1535.03401,-35.3
2024-06-13T15:36:58.143,1535.03468,-35.1
2024-06-13T15:36:58.374,1535.03461,-35.7
2024-06-13T15:37:01.417,1535.43265,-33.6
2024-06-13T15:37:01.664,1535.42902,-33.7
2024-06-13T15:37:01.900,1535.42994,-33.7
2024-06-13T15:37:02.157,1535.42798,-33.9
2024-06-13T15:37:02.386,1535.42781,-33.9
2024-06-13T15:37:02.644,1535.42748,-33.7
2024-06-13T15:37:02.870,1535.42751,-33.8
2024-06-13T15:37:03.112,1535.42775,-33.9
2024-06-13T15:37:05.945,1535.81358,-33.8
2024-06-13T15:37:06.170,1535.81670,-33.7
2024-06-13T15:37:06.413,1535.82453,-33.7
2024-06-13T15:37:06.662,1535.82480,-33.6
2024-06-13T15:37:06.896,1535.82440,-33.7
2024-06-13T15:37:07.148,1535.82416,-33.5
2024-06-13T15:37:07.379,1535.82388,-33.7
2024-06-13T15:37:07.650,1535.82378,-33.8
2024-06-13T15:37:07.880,1535.82429,-33.6
2024-06-13T15:37:08.122,1535.82420,-34.0
2024-06-13T15:37:10.437,1536.21616,-32.8
2024-06-13T15:37:10.708,1536.21540,-32.6
2024-06-13T15:37:10.972,1536.21527,-32.3
2024-06-13T15:37:11.222,1536.21456,-32.8
2024-06-13T15:37:11.478,1536.21492,-32.4
2024-06-13T15:37:11.710,1536.21422,-32.6
2024-06-13T15:37:11.968,1536.21427,-32.6
2024-06-13T15:37:12.192,1536.21369,-33.0
2024-06-13T15:37:12.452,1536.21466,-32.9
2024-06-13T15:37:12.690,1536.21441,-33.3
2024-06-13T15:37:12.939,1536.21466,-33.0
2024-06-13T15:37:13.166,1536.21416,-33.0
2024-06-13T15:37:15.743,1536.61020,-32.1
2024-06-13T15:37:15.991,1536.61055,-32.1
2024-06-13T15:37:16.224,1536.60911,-32.2
2024-06-13T15:37:16.484,1536.60840,-32.4
2024-06-13T15:37:16.717,1536.60820,-32.3
2024-06-13T15:37:16.973,1536.60805,-31.9
2024-06-13T15:37:17.204,1536.60794,-32.1
2024-06-13T15:37:17.461,1536.60812,-32.1
2024-06-13T15:37:17.694,1536.60800,-31.8
2024-06-13T15:37:17.949,1536.60778,-31.9
2024-06-13T15:37:18.172,1536.60789,-32.0
2024-06-13T15:37:21.222,1536.98932,-32.9
2024-06-13T15:37:21.490,1536.99091,-33.2
2024-06-13T15:37:21.724,1536.99297,-33.1
2024-06-13T15:37:21.987,1537.00432,-33.1
2024-06-13T15:37:22.220,1537.00544,-33.1
2024-06-13T15:37:22.462,1537.00470,-33.3
2024-06-13T15:37:22.694,1537.00490,-33.4
2024-06-13T15:37:22.967,1537.00556,-33.2
2024-06-13T15:37:23.196,1537.00547,-33.3
2024-06-13T15:37:23.435,1537.00489,-33.4
2024-06-13T15:37:25.257,1537.39633,-33.7
2024-06-13T15:37:25.489,1537.39656,-34.0
2024-06-13T15:37:25.743,1537.39712,-34.1
2024-06-13T15:37:26.005,1537.39612,-33.6
2024-06-13T15:37:26.250,1537.39624,-33.6
