Time,Wavelength,Power
2024-06-13T15:22:45.497,1527.60477,-34.2
2024-06-13T15:22:45.693,1527.60454,-34.2
2024-06-13T15:22:45.833,1527.60485,-34.2
2024-06-13T15:22:46.029,1527.60454,-34.2
2024-06-13T15:22:46.167,1527.60483,-34.3
2024-06-13T15:22:46.363,1527.60472,-34.2
2024-06-13T15:22:46.500,1527.6047,-34.2
2024-06-13T15:22:46.695,1527.60441,-34.2
2024-06-13T15:22:46.834,1527.60447,-34.2
2024-06-13T15:22:47.030,1527.60451,-34.2
2024-06-13T15:22:47.167,1527.60484,-34.2
2024-06-13T15:22:47.363,1527.60498,-34.3
2024-06-13T15:22:47.502,1527.60513,-34.3
2024-06-13T15:22:47.697,1527.60477,-34.2
2024-06-13T15:22:47.836,1527.6046,-34.2
2024-06-13T15:22:48.031,1527.60441,-34.2
2024-06-13T15:22:48.168,1527.6047,-34.2
2024-06-13T15:22:48.364,1527.60479,-34.2
2024-06-13T15:22:48.503,1527.60498,-34.3
2024-06-13T15:22:48.830,1527.60517,-34.2
2024-06-13T15:22:48.843,1527.605,-34.3
2024-06-13T15:22:49.040,1527.60461,-34.1
2024-06-13T15:22:49.169,1527.60487,-34.2
2024-06-13T15:22:49.364,1527.60473,-34.2
2024-06-13T15:22:49.503,1527.60485,-34.2
2024-06-13T15:22:49.698,1527.60476,-34.3
2024-06-13T15:22:49.836,1527.60473,-34.2
2024-06-13T15:22:50.032,1527.60445,-34.2
2024-06-13T15:22:50.170,1527.60456,-34.2
2024-06-13T15:22:50.364,1527.6046,-34.2
2024-06-13T15:22:50.503,1527.60496,-34.2
2024-06-13T15:22:50.698,1527.60472,-34.2
2024-06-13T15:22:50.837,1527.60496,-34.2
2024-06-13T15:22:51.033,1527.60494,-34.3
2024-06-13T15:22:51.170,1527.60496,-34.2
2024-06-13T15:22:51.364,1527.60465,-34.2
2024-06-13T15:22:51.509,1527.60464,-34.2
2024-06-13T15:22:51.707,1527.60435,-34.2
2024-06-13T15:22:51.838,1527.60461,-34.2
2024-06-13T15:22:52.033,1527.60463,-34.2
2024-06-13T15:22:52.170,1527.60454,-34.3
2024-06-13T15:22:52.366,1527.60435,-34.2
2024-06-13T15:22:52.506,1527.60462,-34.2
2024-06-13T15:22:52.701,1527.60479,-34.2
2024-06-13T15:22:52.972,1527.60525,-34.2
2024-06-13T15:22:53.202,1527.60473,-34.2
2024-06-13T15:22:53.460,1527.60451,-34.3
2024-06-13T15:22:55.781,1527.99388,-33.8
2024-06-13T15:22:56.005,1527.99331,-33.8
2024-06-13T15:22:56.241,1527.99329,-33.9
2024-06-13T15:22:56.499,1527.99241,-34.1
2024-06-13T15:22:56.737,1527.99268,-33.9
2024-06-13T15:22:56.978,1527.99244,-34
2024-06-13T15:22:57.234,1527.99242,-34
2024-06-13T15:22:57.477,1527.99221,-34
2024-06-13T15:22:57.705,1527.99218,-34
2024-06-13T15:22:57.938,1527.99226,-34
2024-06-13T15:22:58.180,1527.99248,-34.1
2024-06-13T15:22:58.447,1527.99296,-34.1
2024-06-13T15:22:58.691,1527.99337,-34.1
2024-06-13T15:23:02.962,1528.38712,-34.7
2024-06-13T15:23:03.209,1528.38365,-34.6
2024-06-13T15:23:03.470,1528.38326,-34.7
2024-06-13T15:23:03.696,1528.38338,-34.8
2024-06-13T15:23:07.849,1528.75657,-34.6
2024-06-13T15:23:08.083,1528.75771,-34.6
2024-06-13T15:23:08.343,1528.76729,-34.5
2024-06-13T15:23:08.575,1528.77083,-34.6
2024-06-13T15:23:08.827,1528.77541,-34.6
2024-06-13T15:23:10.601,1529.1643,-34.1
2024-06-13T15:23:10.878,1529.16432,-34.1
2024-06-13T15:23:11.130,1529.16361,-34.2
2024-06-13T15:23:11.361,1529.16307,-34.1
2024-06-13T15:23:11.619,1529.16222,-33.9
2024-06-13T15:23:11.857,1529.16255,-34
2024-06-13T15:23:12.115,1529.16259,-34
2024-06-13T15:23:12.442,1529.16222,-34.09
2024-06-13T15:23:12.608,1529.16283,-34.23
2024-06-13T15:23:12.851,1529.16258,-34.21
2024-06-13T15:23:13.091,1529.16277,-34.21
2024-06-13T15:23:13.329,1529.16279,-34.23
2024-06-13T15:23:13.579,1529.16286,-34.28
2024-06-13T15:23:15.541,1529.55427,-35.82
2024-06-13T15:23:15.823,1529.55368,-34.02
2024-06-13T15:23:16.077,1529.55489,-34.29
2024-06-13T15:23:16.319,1529.55414,-34.19
2024-06-13T15:23:16.552,1529.55337,-34.05
2024-06-13T15:23:16.822,1529.55261,-34.27
2024-06-13T15:23:17.050,1529.55258,-34.33
2024-06-13T15:23:17.281,1529.55219,-34.26
2024-06-13T15:23:17.528,1529.55209,-34.26
2024-06-13T15:23:17.792,1529.55157,-34.44
2024-06-13T15:23:18.018,1529.55196,-34.46
2024-06-13T15:23:18.251,1529.5521,-34.45
2024-06-13T15:23:18.505,1529.55231,-34.42
2024-06-13T15:23:21.006,1529.92828,-34.84
2024-06-13T15:23:21.262,1529.93123,-34.99
2024-06-13T15:23:21.514,1529.93425,-34.85
2024-06-13T15:23:21.743,1529.93782,-34.99
2024-06-13T15:23:22.003,1529.94614,-34.93
2024-06-13T15:23:22.235,1529.94619,-34.74
2024-06-13T15:23:22.502,1529.94629,-34.81
2024-06-13T15:23:22.744,1529.94592,-35.03
2024-06-13T15:23:23.002,1529.94558,-35.03
2024-06-13T15:23:23.231,1529.94514,-35.03
2024-06-13T15:23:23.490,1529.94524,-35.00
2024-06-13T15:23:24.212,1530.29763,-37.64
2024-06-13T15:23:25.003,1530.30974,-37.57
2024-06-13T15:23:25.259,1530.33506,-35.95
2024-06-13T15:23:25.534,1530.33328,-36.04
2024-06-13T15:23:25.826,1530.33287,-36.11
2024-06-13T15:23:26.073,1530.33319,-36.11
2024-06-13T15:23:26.312,1530.33291,-36.09
2024-06-13T15:23:26.550,1530.33283,-36.00
2024-06-13T15:23:26.817,1530.33247,-36.16
2024-06-13T15:23:27.046,1530.33231,-36.16
2024-06-13T15:23:27.280,1530.33195,-36.23
2024-06-13T15:23:27.531,1530.33187,-36.18
2024-06-13T15:23:27.796,1530.33231,-36.29
2024-06-13T15:23:28.029,1530.33273,-36.25
2024-06-13T15:23:28.262,1530.33278,-36.11
2024-06-13T15:23:28.515,1530.33277,-36.18
2024-06-13T15:23:28.737,1530.33273,-36.16
2024-06-13T15:23:29.250,1530.31141,-37.70
2024-06-13T15:23:31.845,1530.72398,-35.61
2024-06-13T15:23:32.102,1530.72524,-35.51
2024-06-13T15:23:32.342,1530.72553,-35.58
2024-06-13T15:23:32.574,1530.72511,-35.67
2024-06-13T15:23:32.858,1530.72333,-35.51
2024-06-13T15:23:33.101,1530.72333,-35.58
2024-06-13T15:23:33.338,1530.72363,-35.69
2024-06-13T15:23:33.571,1530.72382,-35.67
2024-06-13T15:23:36.629,1531.10143,-34.23
2024-06-13T15:23:36.893,1531.10423,-34.21
2024-06-13T15:23:37.149,1531.10697,-34.15
2024-06-13T15:23:37.374,1531.11082,-34.20
2024-06-13T15:23:37.628,1531.11938,-34.06
2024-06-13T15:23:37.872,1531.11883,-34.00
2024-06-13T15:23:38.109,1531.11874,-34.08
2024-06-13T15:23:38.352,1531.11861,-34.10
2024-06-13T15:23:38.596,1531.11785,-34.16
2024-06-13T15:23:38.846,1531.11808,-34.15
2024-06-13T15:23:40.616,1531.50839,-35.24
2024-06-13T15:23:40.907,1531.50657,-34.35
2024-06-13T15:23:41.186,1531.50625,-34.31
2024-06-13T15:23:41.406,1531.50582,-34.31
2024-06-13T15:23:41.665,1531.50509,-34.38
2024-06-13T15:23:41.899,1531.50523,-34.39
2024-06-13T15:23:42.155,1531.50516,-34.41
2024-06-13T15:23:42.377,1531.50529,-34.45
2024-06-13T15:23:42.628,1531.50515,-34.47
2024-06-13T15:23:42.875,1531.50499,-34.50
2024-06-13T15:23:43.125,1531.50531,-34.51
2024-06-13T15:23:43.375,1531.50541,-34.52
2024-06-13T15:23:43.626,1531.50621,-34.58
2024-06-13T15:23:45.905,1531.89834,-34.67
2024-06-13T15:23:46.164,1531.89946,-34.55
2024-06-13T15:23:46.387,1531.89938,-34.49
2024-06-13T15:23:46.634,1531.89755,-34.53
2024-06-13T15:23:46.876,1531.89731,-34.56
2024-06-13T15:23:47.146,1531.89679,-34.67
2024-06-13T15:23:47.371,1531.89712,-34.61
2024-06-13T15:23:47.607,1531.8967,-34.74
2024-06-13T15:23:47.854,1531.89697,-34.70
2024-06-13T15:23:48.087,1531.89687,-34.67
2024-06-13T15:23:48.343,1531.89673,-34.69
2024-06-13T15:23:48.575,1531.8968,-34.70
2024-06-13T15:23:48.833,1531.89652,-34.85
2024-06-13T15:23:50.867,1532.27316,-36.02
2024-06-13T15:23:51.103,1532.27415,-35.93
2024-06-13T15:23:51.360,1532.28193,-35.85
2024-06-13T15:23:51.595,1532.28535,-35.87
2024-06-13T15:23:51.845,1532.2896,-35.73
2024-06-13T15:23:52.074,1532.292,-35.73
2024-06-13T15:23:52.334,1532.29152,-35.65
2024-06-13T15:23:52.569,1532.29137,-35.62
2024-06-13T15:23:52.823,1532.29178,-35.64
2024-06-13T15:23:53.052,1532.29115,-35.72
2024-06-13T15:23:53.299,1532.29018,-35.70
2024-06-13T15:23:53.563,1532.28999,-35.82
2024-06-13T15:23:53.818,1532.29047,-35.82
2024-06-13T15:23:56.877,1532.68226,-35.39
2024-06-13T15:23:57.148,1532.68176,-35.72
2024-06-13T15:23:57.372,1532.68153,-35.61
2024-06-13T15:23:57.610,1532.68098,-35.73
2024-06-13T15:23:57.858,1532.681,-35.85
2024-06-13T15:23:58.086,1532.68051,-35.80
2024-06-13T15:23:58.344,1532.68025,-35.64
2024-06-13T15:23:58.578,1532.68065,-35.59
2024-06-13T15:23:58.832,1532.68069,-35.77
2024-06-13T15:24:01.906,1533.07357,-34.02
2024-06-13T15:24:02.186,1533.07437,-34.03
2024-06-13T15:24:02.416,1533.07438,-34.07
2024-06-13T15:24:02.661,1533.07303,-34.18
2024-06-13T15:24:02.893,1533.0731,-34.19
2024-06-13T15:24:03.162,1533.07226,-34.20
2024-06-13T15:24:03.385,1533.07212,-34.25
2024-06-13T15:24:03.624,1533.07235,-34.18
2024-06-13T15:24:05.976,1533.45189,-33.41
2024-06-13T15:24:06.237,1533.45295,-33.38
2024-06-13T15:24:06.491,1533.45517,-33.32
2024-06-13T15:24:06.730,1533.46057,-33.21
2024-06-13T15:24:06.986,1533.46796,-33.25
2024-06-13T15:24:07.222,1533.46742,-33.30
2024-06-13T15:24:07.469,1533.46732,-33.27
2024-06-13T15:24:07.699,1533.46709,-33.33
2024-06-13T15:24:07.949,1533.46687,-33.42
2024-06-13T15:24:08.195,1533.46634,-33.47
2024-06-13T15:24:08.432,1533.46619,-33.44
2024-06-13T15:24:10.713,1533.85857,-33.71
2024-06-13T15:24:10.992,1533.85788,-33.69
2024-06-13T15:24:11.227,1533.85756,-33.71
2024-06-13T15:24:11.481,1533.85737,-33.71
2024-06-13T15:24:11.710,1533.85703,-33.71
2024-06-13T15:24:11.965,1533.85676,-33.76
2024-06-13T15:24:12.208,1533.85616,-33.87
2024-06-13T15:24:12.455,1533.85625,-33.85
2024-06-13T15:24:12.685,1533.85649,-33.85
2024-06-13T15:24:12.934,1533.85641,-33.95
2024-06-13T15:24:13.183,1533.85615,-33.90
2024-06-13T15:24:13.415,1533.85655,-33.87
2024-06-13T15:24:13.661,1533.85654,-33.87
2024-06-13T15:24:16.012,1534.25057,-34.02
2024-06-13T15:24:16.245,1534.25128,-33.98
2024-06-13T15:24:16.512,1534.24909,-34.08
2024-06-13T15:24:16.743,1534.24862,-34.10
2024-06-13T15:24:16.981,1534.24891,-34.12
2024-06-13T15:24:17.221,1534.24911,-34.16
2024-06-13T15:24:17.486,1534.24888,-34.24
2024-06-13T15:24:17.716,1534.24896,-34.31
2024-06-13T15:24:17.948,1534.24892,-34.25
2024-06-13T15:24:18.196,1534.24884,-34.21
2024-06-13T15:24:18.455,1534.24859,-34.26
2024-06-13T15:24:18.690,1534.24868,-34.29
2024-06-13T15:24:21.703,1534.62835,-34.27
2024-06-13T15:24:21.936,1534.63053,-34.28
2024-06-13T15:24:22.184,1534.63325,-34.26
2024-06-13T15:24:22.411,1534.63644,-34.13
2024-06-13T15:24:22.663,1534.64452,-34.07
2024-06-13T15:24:22.896,1534.64493,-34.06
2024-06-13T15:24:23.167,1534.64478,-34.15
2024-06-13T15:24:23.389,1534.64473,-34.18
2024-06-13T15:24:23.630,1534.6446,-34.17
2024-06-13T15:24:26.032,1535.03516,-34.61
2024-06-13T15:24:26.269,1535.03515,-34.61
2024-06-13T15:24:26.528,1535.03409,-34.61
2024-06-13T15:24:26.762,1535.03407,-34.57
2024-06-13T15:24:26.999,1535.03381,-34.63
2024-06-13T15:24:27.235,1535.0338,-34.63
2024-06-13T15:24:27.499,1535.03379,-34.65
2024-06-13T15:24:27.720,1535.03395,-34.71
2024-06-13T15:24:27.956,1535.03428,-34.67
2024-06-13T15:24:28.206,1535.03416,-34.70
2024-06-13T15:24:28.464,1535.03452,-34.79
2024-06-13T15:24:28.699,1535.03527,-34.84
2024-06-13T15:24:31.799,1535.4384,-33.83
2024-06-13T15:24:32.027,1535.42889,-33.74
2024-06-13T15:24:32.261,1535.42984,-33.77
2024-06-13T15:24:32.523,1535.42802,-33.80
2024-06-13T15:24:32.758,1535.42751,-33.81
2024-06-13T15:24:33.002,1535.42776,-33.83
2024-06-13T15:24:33.235,1535.42803,-33.86
2024-06-13T15:24:33.505,1535.4274,-33.95
2024-06-13T15:24:33.731,1535.42745,-33.93
2024-06-13T15:24:36.081,1535.80903,-33.41
2024-06-13T15:24:36.331,1535.8131,-33.33
2024-06-13T15:24:36.562,1535.81549,-33.35
2024-06-13T15:24:36.835,1535.82464,-33.43
2024-06-13T15:24:37.058,1535.82441,-33.38
2024-06-13T15:24:37.302,1535.82393,-33.48
2024-06-13T15:24:37.544,1535.82422,-33.51
2024-06-13T15:24:37.813,1535.82342,-33.60
2024-06-13T15:24:38.041,1535.82338,-33.55
2024-06-13T15:24:38.270,1535.82291,-33.57
2024-06-13T15:24:38.523,1535.82348,-33.49
2024-06-13T15:24:38.754,1535.82369,-33.57
2024-06-13T15:24:40.817,1536.21441,-33.62
2024-06-13T15:24:41.045,1536.21543,-33.60
2024-06-13T15:24:41.292,1536.21488,-33.55
2024-06-13T15:24:41.543,1536.21419,-33.59
2024-06-13T15:24:41.776,1536.21423,-33.59
2024-06-13T15:24:42.017,1536.21419,-33.62
2024-06-13T15:24:42.248,1536.21392,-33.57
2024-06-13T15:24:42.508,1536.21425,-33.66
2024-06-13T15:24:42.732,1536.21393,-33.72
2024-06-13T15:24:42.983,1536.21425,-33.72
2024-06-13T15:24:43.223,1536.21439,-33.77
2024-06-13T15:24:43.493,1536.21421,-33.76
2024-06-13T15:24:43.717,1536.21489,-33.76
2024-06-13T15:24:46.081,1536.60968,-33.65
2024-06-13T15:24:46.321,1536.61042,-33.58
2024-06-13T15:24:46.562,1536.60989,-33.68
2024-06-13T15:24:46.829,1536.60825,-33.67
2024-06-13T15:24:47.056,1536.60809,-33.67
2024-06-13T15:24:47.289,1536.60777,-33.74
2024-06-13T15:24:47.541,1536.60779,-33.69
2024-06-13T15:24:47.787,1536.60792,-33.75
2024-06-13T15:24:48.030,1536.60801,-33.73
2024-06-13T15:24:48.260,1536.60808,-33.77
2024-06-13T15:24:48.516,1536.60792,-33.76
2024-06-13T15:24:48.742,1536.60819,-33.79
2024-06-13T15:24:51.767,1536.99022,-33.63
2024-06-13T15:24:52.011,1536.99327,-33.70
2024-06-13T15:24:52.243,1536.99552,-33.70
2024-06-13T15:24:52.513,1537.005,-33.88
2024-06-13T15:24:52.735,1537.00502,-33.86
2024-06-13T15:24:52.969,1537.00465,-33.86
